Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3820007738.85604,2.00073325634003,0.401916682720184,,,6,,,,36.9416033524933,,,10,,,,,,,,,,,,,,,,,,,,,,1.99881994724274,2.00103378295898,0.401916682720184,0.401916682720184,,,2.3030641078949,,1,0,0,0,0.0220489501953125,29.8142719268799,1,1,1,2.00052952766418,0,2.0000364681085,,,-0.0006210641350132,1.79290406767068e-05,-0.0006273162626808,1.7937094982531e-05,0.859790205955505,0.973173320293427,36.423282623291,0.0001123895490309,30,4,200,-0.0001815896830521,-0.0755929574370384,0.225600957870483,3,,,,,,,,,,,,,,,,
,3820007789.61628,2.00079202651978,999.591064453125,,,6,,,,36.9416033524933,,,10,,,,,,,,,,,,,,,,,,,,,,1.99896693229675,2.00090742111206,999.591064453125,999.591064453125,,,2.30702424049377,,1,0,0,0,0.0238037109375,29.8142719268799,1,1,1,2.00067663192749,0,2.00004004990613,,,0.0079055404911309,0.0002283455948792,0.0079883109989659,0.0002284536635719,0.855976581573486,0.967203319072723,36.4132614135742,,30,4,200,0.0179112665355206,-3.36786961555481,0.624018490314484,3,,,,,,,,,,,,,,,,
,3820007833.60354,2.00089812278748,1999.60852050781,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99903929233551,2.000896692276,1999.60852050781,1999.60852050781,,,2.31040740013123,,1,0,0,0,0.0201416015625,29.3255138397217,1,1,1,2.00089955329895,0,1.99997016787529,,,0.0155036464866211,0.0007755054518376,0.0156614799787219,0.0007758627320503,0.857086598873138,0.963969886302948,36.4205093383789,0.138979077339172,30,4,200,0.0431117303669453,-4.86384201049805,4.85619211196899,3,,,,,,,,,,,,,,,,
,3820007876.78742,2.00056290626526,2999.58935546875,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.9986754655838,2.0009434223175,2999.58935546875,2999.58935546875,,,2.31354594230652,,1,0,0,0,0.0179290771484375,29.3255138397217,1,1,1,2.00037884712219,0,2.00000145258727,,,0.0336215525773999,0.0009759789329207,0.0339585795859009,0.0009764218978219,0.82552182674408,0.891351580619812,36.4245719909668,0.0,30,4,200,0.0044346381910145,-1.52625322341919,0.267966866493225,3,,,,,,,,,,,,,,,,
,3820007920.26149,2.00074446201324,4000.4228515625,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99889409542084,2.00103449821472,4000.4228515625,4000.4228515625,,,2.31338024139404,,1,0,0,0,0.023345947265625,29.3255138397217,1,1,1,2.00050234794617,0,2.00004757302148,,,0.0557057167196851,0.0016088133212091,0.056267555935964,0.0016095465974378,0.856841325759888,0.960669815540314,36.4229736328125,0.0,30,4,200,0.0029608490876853,-2.36878228187561,0.389595180749893,3,,,,,,,,,,,,,,,,
,3820007963.75877,2.00085878372192,5000.18408203125,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99863612651825,2.00104522705078,5000.18408203125,5000.18408203125,,,2.31628489494324,,1,0,0,0,0.02288818359375,29.8142719268799,1,1,1,2.00067234039307,0,2.0000214278698,,,0.0701313618851503,0.0020247305354097,0.0708441103136378,0.0020256618378408,0.859237432479858,0.973372936248779,36.4210052490234,1.00000047683716,30,4,200,0.0016986925620585,-2.92980217933655,0.487027913331985,3,,,,,,,,,,,,,,,,
,3820008006.9309,2.00060093402863,5999.775390625,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99895942211151,2.00090146064758,5999.775390625,5999.775390625,,,2.31683087348938,,1,0,0,0,0.022735595703125,30.3030319213867,1,1,1,2.00030040740967,0,1.99996565889429,,,0.0813160691558344,0.0023476672741104,0.0821442347964828,0.002348737353983,0.859156250953674,0.973894596099854,36.4203109741211,0.0,30,4,200,0.0015422524884343,-3.38578271865845,0.562076568603516,3,,,,,,,,,,,,,,,,
,3820008050.02996,2.00068736076355,6999.7802734375,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99881780147552,2.00093841552734,6999.7802734375,6999.7802734375,,,2.32002019882202,,1,0,0,0,0.0213623046875,29.8142719268799,1,1,1,2.0006217956543,0,2.00002907382117,,,0.0909128177751451,0.002624752892425,0.091838850495226,0.0026259302077878,0.859103441238403,0.973935484886169,36.4200553894043,0.109262742102146,30,4,200,0.0016434784047305,-3.78324794769287,0.627948462963104,3,,,,,,,,,,,,,,,,
,3820008093.39536,2.00073409080505,8000.2607421875,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99868106842041,2.0008180141449,8000.2607421875,8000.2607421875,,,2.32119178771973,,1,0,0,0,0.0179290771484375,29.8142719268799,1,1,1,2.00070190429687,0,1.99997083346049,,,0.0992496025540492,0.002865446381833,0.100261579580484,0.0028667584817366,0.859102427959442,0.973963618278503,36.4200325012207,0.0,30,4,200,0.0017356346361339,-4.12986183166504,0.679263830184937,3,,,,,,,,,,,,,,,,
,3820008136.63747,2.00093197822571,8999.94921875,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99887728691101,2.00126838684082,8999.94921875,8999.94921875,,,2.32230448722839,,1,0,0,0,0.015716552734375,29.3255138397217,1,1,1,2.0005955696106,0,2.00005185604095,,,0.106463838597538,0.0030737351110515,0.107549189568903,0.0030751292602463,0.859090149402618,0.973996579647064,36.419994354248,0.0,30,4,200,0.0018640714697539,-4.42992782592773,0.731511473655701,3,,,,,,,,,,,,,,,,
,3820008180.01465,2.00066161155701,9999.9541015625,,,6,,,,36.9416033524933,,,100,,,,,,,,,,,,,,,,,,,,,,1.99867141246796,2.00086998939514,9999.9541015625,9999.9541015625,,,2.32087540626526,,1,0,0,0,0.0228118896484375,29.8142719268799,1,1,1,2.00048327445984,0,1.99999144342211,,,0.11269543667078,0.0032536376595886,0.113844798852346,0.0032551335662717,0.859110534191132,0.974034130573273,36.4200210571289,,30,4,200,0.0019590300507843,-4.68753576278687,0.778196811676025,3,,,,,,,,,,,,,,,,
