Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11370981.41,2.2038750625,-0.024,10.0,3.00137149090889,,8.49055824541675e-07,0.0002449586808517,2.59835717661919e-06,0.0002449724612781,0.607732357854336,1.53220075445928e-08,2.7829503731090197e-11,1.53220328180642e-08,0.104066738753131,320,25,5,13.4965986394558,-0.076805167652275,0.0001015050497201,4369,0,2.2029238,2.2048819,-0.024,-0.024,,2.19685,,,,,,,,,,,,,,,,,,,,,,,2.2038750625,,,,
,11371015.23,2.201527125,-0.024,12.5890027958993,3.00137129787711,,9.54472288420524e-07,0.0002465727544829,3.89205742115977e-06,0.000246603469895,0.904317051380045,1.54445807348158e-08,2.3870871545406797e-11,1.54445991820037e-08,0.0885552756187021,384,25,5,13.4965986394558,-0.076805167652275,0.0001038079264182,4369,0,2.2001898,2.2030468,-0.024,-0.024,,2.1946125,,,,,,,,,,,,,,,,,,,,,,,2.201527125,,,,
,11371050.0,2.19923785,-0.024,15.8490214352283,3.00137099187908,,8.51027637091534e-07,0.0002485652225509,9.97767674366242e-06,0.0002487653993122,2.29868043292913,1.53794319715897e-08,2.40709070704801e-11,1.53794508087033e-08,0.0896756304514055,480,25,5,13.4965986394558,-0.076805167652275,0.0001065550685864,4369,0,2.1943843,2.2012665,-0.024,-0.024,,2.1930125,,,,,,,,,,,,,,,,,,,,,,,2.19923785,,,,
,11371084.0,2.200950975,-0.024,19.952935694315,3.00137050692122,,5.88809705879235e-07,0.0002463745989496,1.20484521041662e-05,0.0002466690256308,2.79970395358672,1.537144414765e-08,4.8431350565722494e-11,1.53715204446418e-08,0.180523233511997,304,25,5,13.4965986394558,-0.076805167652275,0.0001089743803535,4369,0,2.2001638,2.2015681,-0.024,-0.024,,2.1949,,,,,,,,,,,,,,,,,,,,,,,2.200950975,,,,
,11371118.66,2.19866055,-0.024,25.1190587138863,3.00136973837459,,4.30756738515196e-07,0.0002448221672835,1.56997221435775e-05,0.000245325039221,3.6691849665538,1.53788318583351e-08,3.27366107379557e-11,1.53788667011788e-08,0.121964191758706,400,25,5,13.4965986394558,-0.076805167652275,0.0001126198139491,4369,0,2.1980965,2.1992111,-0.024,-0.024,,2.193625,,,,,,,,,,,,,,,,,,,,,,,2.19866055,,,,
,11371154.28,2.21440845,-0.024,31.6230195712954,3.00136852027881,,2.29715518679648e-07,0.0002435978562916,2.06802580577595e-05,0.0002444741063246,4.85249417810353,1.53663602610685e-08,3.8649651914854697e-11,1.53664088670235e-08,0.144110721536468,496,25,5,13.4965986394558,-0.076805167652275,0.000116358084941,4369,0,2.1972854,2.2634413,-0.024,-0.024,,2.1930875,,,,,,,,,,,,,,,,,,,,,,,2.21440845,,,,
,11371188.17,2.1986129875,-0.024,39.8108108108108,3.00136658978538,,2.54178284020285e-07,0.0002417845180491,2.63807183386735e-05,0.0002432194389194,6.22681859548423,1.53817717175158e-08,3.55618601916196e-11,1.5381812826051e-08,0.132464641118636,312,25,5,13.4965986394558,-0.076805167652275,0.0001216789770131,4369,0,2.197747,2.1994457,-0.024,-0.024,,2.1938,,,,,,,,,,,,,,,,,,,,,,,2.1986129875,,,,
,11371222.68,2.1987671375,-0.024,50.118825722274,3.00136353011628,,3.5489541603681e-07,0.0002385212647978,3.26698808770481e-05,0.0002407482396141,7.79918224999568,1.53735665947404e-08,5.74765531657536e-11,1.53736740370375e-08,0.214208495712286,400,25,5,13.4965986394558,-0.076805167652275,0.0001278963955965,4369,0,2.1981606,2.1995337,-0.024,-0.024,,2.193525,,,,,,,,,,,,,,,,,,,,,,,2.1987671375,,,,
,11371257.56,2.198879475,-0.024,63.096458527493,3.00135868063289,,3.34663135746832e-07,0.0002351007136481,4.0112885223047e-05,0.0002384981952107,9.68256771498079,1.53863201590736e-08,6.055772208077929e-11,1.5386439330632e-08,0.225504470235566,504,25,5,13.4965986394558,-0.076805167652275,0.0001363690237198,4369,0,2.1981199,2.200078,-0.024,-0.024,,2.1934375,,,,,,,,,,,,,,,,,,,,,,,2.198879475,,,,
,11371292.31,2.1982869375,-0.024,79.4333643988816,3.00135099520827,,2.70645651262771e-07,0.0002302772773189,4.81016785723102e-05,0.0002352475205626,11.7986288953617,1.53928649622125e-08,7.05373058441449e-11,1.53930265788254e-08,0.262554218741938,316,25,5,13.4965986394558,-0.076805167652275,0.0001460276569448,4369,0,2.197299,2.1996496,-0.024,-0.024,,2.19325,,,,,,,,,,,,,,,,,,,,,,,2.1982869375,,,,
,11371327.87,2.199126525,-0.024,100.0,3.00133881500266,,1.70226583821041e-07,0.0002222164472183,5.64907176863835e-05,0.0002292844316544,14.2633039801974,1.53957455432815e-08,8.613434807808309e-11,1.53959864886726e-08,0.320548499086905,400,25,5,13.4965986394558,-0.076805167652275,0.0001584693284303,4369,0,2.1981676,2.200685,-0.024,-0.024,,2.19355,,,,,,,,,,,,,,,,,,,,,,,2.199126525,,,,
,11371361.65,2.1995632125,-0.024,125.890027958993,3.00131951260894,,1.66183848335345e-07,0.0002118629138119,6.51067674651172e-05,0.0002216411185196,17.0825129004347,1.538689345148e-08,-1.0303989796946499e-11,1.53868969015654e-08,-0.0383686961323519,500,25,5,13.4965986394558,-0.076805167652275,0.0001757158787248,4369,0,2.1989017,2.2001126,-0.024,-0.024,,2.1946,,,,,,,,,,,,,,,,,,,,,,,2.1995632125,,,,
,11371397.15,2.1984294125,-0.024,158.490214352283,3.00128891477575,,1.57835938092141e-07,0.0001993537891773,7.28704259281164e-05,0.0002122546400772,20.0790354215528,1.53803369470341e-08,-1.73830515203261e-11,1.53803467703034e-08,-0.0647563877516859,316,25,5,13.4965986394558,-0.076805167652275,0.0001946457076553,4373,0,2.1975906,2.1989288,-0.024,-0.024,,2.1938625,,,,,,,,,,,,,,,,,,,,,,,2.1984294125,,,,
,11371431.8,2.19832735,-0.024,199.530288909599,3.0012404227093,,1.68123252692819e-07,0.0001843531824975,7.93236095419808e-05,0.0002006946210732,23.2812748599035,1.5377927391076e-08,-2.7107741686209496e-11,1.53779512834078e-08,-0.100999149138602,398,25,5,13.4965986394558,-0.076805167652275,0.0002186967980185,4373,0,2.1978214,2.1990714,-0.024,-0.024,,2.1935875,,,,,,,,,,,,,,,,,,,,,,,2.19832735,,,,
,11371466.05,2.1985531875,-0.024,251.189655172414,3.00116358324547,,1.4570212406928e-07,0.0001679365027195,8.35958336414536e-05,0.0001875924634624,26.4633132692164,1.53819739424998e-08,-3.97256440721626e-11,1.53820252403427e-08,-0.1479723403408,502,25,5,13.4965986394558,-0.076805167652275,0.000248681370394,4373,0,2.1981778,2.1990612,-0.024,-0.024,,2.1932875,,,,,,,,,,,,,,,,,,,,,,,2.1985531875,,,,
